[INFO ] [2021-03-14 11:14:08,309] TC_02_SearchWithNotExistData - Step 01: Input Search text with not exist data
[INFO ] [2021-03-14 11:14:08,475] TC_02_SearchWithNotExistData - Step 02: Click Search button
[INFO ] [2021-03-14 11:14:09,795] TC_02_SearchWithNotExistData - Step 03: Verify displayed result - No result
[INFO ] [2021-03-14 11:14:09,894]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-03-14 11:14:11,569] TC_03_SearchWithProductNameRelative - Step 01: Input Search text with comparative Product Name
[INFO ] [2021-03-14 11:14:11,835] TC_03_SearchWithProductNameRelative - Step 02: Click Search button
[INFO ] [2021-03-14 11:14:13,516] TC_03_SearchWithProductNameRelative - Step 03: Verify displayed result - 2 related Products
[INFO ] [2021-03-14 11:14:13,567] Total product is found: ---------------2
[INFO ] [2021-03-14 11:14:13,588]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-03-14 11:14:15,237] TC_04_SearchWithProductNameAbsolutely - Step 01: Input Search text with absolute Product Name
[INFO ] [2021-03-14 11:14:15,421] TC_04_SearchWithProductNameAbsolutely - Step 02: Click Search button
[INFO ] [2021-03-14 11:14:16,235] TC_04_SearchWithProductNameAbsolutely - Step 03: Verify displayed result - 1 Product
[INFO ] [2021-03-14 11:14:16,285] Total product is found: ---------------1
[INFO ] [2021-03-14 11:14:16,314]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-03-14 11:14:17,318] TC_05_AdvancedSearchWithParentCategories - Step 01: Input Search text with Product Name
[INFO ] [2021-03-14 11:14:17,549] TC_05_AdvancedSearchWithParentCategories - Step 02: Check on Advanced Search and select option Category
[INFO ] [2021-03-14 11:14:18,042] TC_05_AdvancedSearchWithParentCategories - Step 03: Click Search button
[INFO ] [2021-03-14 11:14:19,061] TC_05_AdvancedSearchWithParentCategories - Step 04: Verify displayed result - No result
[INFO ] [2021-03-14 11:14:19,307]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-03-14 11:14:20,168] TC_06_AdvancedSearchWithSubCategories - Step 01: Input Search text with Product Name
